
#-ah-	UNKNOWN
#-aš1!	UNKNOWN
#-ba-ni-ma	UNKNOWN
#-da-	UNKNOWN
#-e	UNKNOWN
#-it-,	UNKNOWN
#-kam	UNKNOWN_NOUN_ADJ
#-ku	UNKNOWN
#-ma	UNKNOWN
#-mu?}	UNKNOWN
#-ni!-	UNKNOWN
#-ni-kà-IR-šu	UNKNOWN
#-ni-ma	UNKNOWN
#-ta!-	UNKNOWN
#-tum	UNKNOWN_NOUN_ADJ
#-tù-	UNKNOWN
#-un!-	UNKNOWN
#-x	UNKNOWN
#-šu	UNKNOWN
#-šum}	UNKNOWN
#En!-na-A-šur	UNKNOWN
#GA-ma-ma	UNKNOWN
#KIŠIB-{kà-a}	UNKNOWN
#Kam!-ma!-li-a	UNKNOWN
#Ku-bi-na-ah-šu	UNKNOWN
#Ku-ku	UNKNOWN
#Ku-na-a	UNKNOWN
#Ni-ma-	UNKNOWN
#TÚG-ta-nu	UNKNOWN
#a-GA-ZI-im	UNKNOWN_NOUN_ADJ
#a-dí	UNKNOWN
#a-gu5-ru-ni?	UNKNOWN
#a-na	UNKNOWN
#a-na-HI	UNKNOWN
#a-na-hi	UNKNOWN
#a-ni-GI}	UNKNOWN
#a-ša-qal	UNKNOWN
#a-šu-LÁ-šu	UNKNOWN
#a-šu-mì-kà	UNKNOWN
#ba-ri-ni	UNKNOWN
#d.NA!-líl-ba-ni	UNKNOWN
#dí-in	UNKNOWN
#dí-in}	UNKNOWN
#eppaš-šum	UNKNOWN_NOUN_ADJ
#eq-	UNKNOWN
#eṭe-ru	UNKNOWN
#gi5-ri-ma	UNKNOWN
#gám-ru	UNKNOWN
#i-DA-hi;	UNKNOWN
#i-dí-i-ma	UNKNOWN
#i-hi-iṭ-ma	UNKNOWN
#i-ku-ri-a	UNKNOWN
#i-kà-pár	UNKNOWN
#i-ma-gu5-ru-kà	UNKNOWN
#i-mu-a	UNKNOWN
#i-ša-lá-mu-tim	UNKNOWN_NOUN_ADJ
#i-ṭá-hi	UNKNOWN
#i-ší-ú-ni-ma?	UNKNOWN
#il5-la-ak}	UNKNOWN
#im-qú-ut	UNKNOWN
#iš-bi4-ma	UNKNOWN
#ki-ri-tim	UNKNOWN_NOUN_ADJ
#ki?-ra-tim	UNKNOWN_NOUN_ADJ
#kà?-	UNKNOWN
#li-GA-ší	UNKNOWN
#li-bi	UNKNOWN
#li-dí-na-ku-nu-tí	UNKNOWN
#li-ik-pu!-ur}	UNKNOWN
#li-ša-ak-nu-kum	UNKNOWN_NOUN_ADJ
#li-ṣi;	UNKNOWN
#li-ṭù-lu	UNKNOWN
#lu-la-pì-ta-tum}	UNKNOWN
#lu-ri-HI-ma	UNKNOWN
#lu-ta!-dí-in;	UNKNOWN
#ma-na	UNKNOWN
#me-	UNKNOWN
#me-NI-e	UNKNOWN
#n\-elia	UNKNOWN
#ni-ik-nu-uk-ma	UNKNOWN
#ni-zi-ta-ku-nu-tí-ma	UNKNOWN
#sú-ri-im	UNKNOWN_NOUN_ADJ
#ta-dí-RU-šu-um	UNKNOWN_NOUN_ADJ
#ta-hi-tum}	UNKNOWN
#tuštabba^-ni	UNKNOWN
#tám-kà-ri-im	UNKNOWN_NOUN_ADJ
#té-er-tám	UNKNOWN
#té-ṭí-ir	UNKNOWN
#wata-ru?	UNKNOWN
#{-lá-la-}!}	UNKNOWN
#{..-šum}	UNKNOWN
#{Ha-mì-ṣa-nim}}	UNKNOWN
#{Ku-du-bi-iš}}	UNKNOWN
#{Ku?!-tù}?}	UNKNOWN
#{KÙ.BABBAR.áp-šu!-nu}	UNKNOWN
#{Wa-za}	UNKNOWN
#{a-na}}	UNKNOWN
#{a-pu-úh	UNKNOWN
#{a-qá-té-e}?}	UNKNOWN
#{e-hi-id}}	UNKNOWN
#{hi-da-ma}!}	UNKNOWN
#{i-re-qú}}	UNKNOWN
#{ki-dim}	UNKNOWN
#{li-ba-kà	UNKNOWN
#{li-qé-a-ma	UNKNOWN
#{ni-sí-ma!}	UNKNOWN
#{ra-biṣ-šu-nu}}	UNKNOWN
#{ta-ze-ar}}	UNKNOWN
#{té-ra-bu}}	UNKNOWN
#{té-ru-bu}}	UNKNOWN
#{tù-ša-am-ri-ṣú}?}	UNKNOWN
#{ur-kà-at-sú}}	UNKNOWN
#{wa-ša-áb}?}	UNKNOWN
#{ú-dí-i}?}	UNKNOWN
#{ša-ar-tim}}	UNKNOWN
#{Šu-li}	UNKNOWN
#{šu-lu-AH}!}	UNKNOWN
#{šé-bi-lam}?}	UNKNOWN
#{ší-a-tim}?}	UNKNOWN
#Ú-{be-tum}	UNKNOWN
#ù-mu	UNKNOWN
#ú-ma-qá-at	UNKNOWN
#ú-ta-NI	UNKNOWN
#ú-za-ku	UNKNOWN
#ša-lá-ṭim	UNKNOWN_NOUN_ADJ
#ṭa-tí	UNKNOWN
#Šu-Iš-ha-ra	UNKNOWN
#šu-a-am	UNKNOWN_NOUN_ADJ
#šu-ta-lá-al	UNKNOWN
#ṭup-pá-kà	UNKNOWN
#ší-ip-ri-kà	UNKNOWN
e-ta-ri-iš3-ma	UNKNOWN
e-ta-wu	UNKNOWN
e-ta-wu-kà	UNKNOWN
e-ta-wu-ni	UNKNOWN
e-ta-wu-ni-ku-ni	UNKNOWN
e-ta-wu-ni-ku-um	UNKNOWN_NOUN_ADJ
e-ta-wu-ú	UNKNOWN
e-ta-x	UNKNOWN
e-ta-zi-*ba-am	UNKNOWN_NOUN_ADJ
e-ta-áb-ta-ni	UNKNOWN
e-ta-áp-ša-ni	UNKNOWN
e-ta-ú	UNKNOWN
e-ta-ú-ni	UNKNOWN
e-ta-ṣa-am	UNKNOWN_NOUN_ADJ
e-ta?-x	UNKNOWN
e-ti-iq	UNKNOWN
e-ti-qam-ma	UNKNOWN
e-ti-qá	UNKNOWN
e-ti-qú	UNKNOWN
e-té-eq-ma	UNKNOWN
e-té-qú-šu-um	UNKNOWN_NOUN_ADJ
e-té-zi-ib	UNKNOWN
e-té?-me	UNKNOWN
e-tí-iq	UNKNOWN
e-tí-iq-*šum	UNKNOWN_NOUN_ADJ
e-tí-iq-ma	UNKNOWN
e-tí-ki-*im-ší-ma	UNKNOWN
e-tí-qam-ma	UNKNOWN
e-tí-qu	UNKNOWN
e-tí-qá	UNKNOWN
e-tí-qá-*ni	UNKNOWN
e-tí-qá-kum	UNKNOWN_NOUN_ADJ
e-tí-qám	UNKNOWN
e-tí-qú	UNKNOWN
e-tí-qú-ma	UNKNOWN
e-tí-qú-ni	UNKNOWN
e-tí-qú-ni-ma	UNKNOWN
e-tí-qú-ni-ni	UNKNOWN
e-tí-qú-ú	UNKNOWN
e-tí-tí-iq	UNKNOWN
e-tí-zi-ib-šu	UNKNOWN
e-tí-šu	et+N+Fem+Sg+Construct+3msPoss
e-tí-šu	it+N+Fem+Sg+Construct+3msPoss
e-tí-šu	ēn+N+Fem+Sg+Construct+3msPoss
e-tù-de8-e	etūd+N+Masc+Pl+Construct
e-tù-de8-e	etūd+N+Masc+Pl+Construct+1csPoss
e-tù-de8-e	etūd+N+Masc+Pl+Obl
e-tù-de8-e	etūd+N+Masc+Pl+Obl+1csPoss
e-tù-de8-e	etūd+N+Masc+Sg+Construct+1csPoss
e-tù-de8-e	etūd+N+Masc+Sg+Gen
e-wa-za-tim	UNKNOWN_NOUN_ADJ
e-wu-ú	UNKNOWN
e-za-bi4-im	UNKNOWN_NOUN_ADJ
e-zi!-ba!-ku-ni	UNKNOWN
e-zi-ba!-ni	UNKNOWN
e-zi-ba-am	UNKNOWN_NOUN_ADJ
e-zi-ba-ki-im	UNKNOWN_NOUN_ADJ
e-zi-ba-ki-ma	UNKNOWN
e-zi-ba-ku-ni	UNKNOWN
e-zi-ba-ku-nu-tí	UNKNOWN
e-zi-ba-ku-nu-tí-ni	UNKNOWN
e-zi-ba-ku-um	UNKNOWN_NOUN_ADJ
e-zi-ba-kum	UNKNOWN_NOUN_ADJ
e-zi-ba-kum-ma	UNKNOWN
e-zi-ba-ma	UNKNOWN
e-zi-ba-ni	UNKNOWN
e-zi-bu	UNKNOWN
e-zi-bu-ma	UNKNOWN
e-zi-bu-ni-a-tí-ni	UNKNOWN
e-zi-bu-ni-ni	UNKNOWN
e-zi-bu-nim	UNKNOWN_NOUN_ADJ
e-zi-bu-ú	UNKNOWN
e-zi-bu-ú!	UNKNOWN
e-zi-bu-šu-ni	UNKNOWN
e-zi-ib	ezib+Prep
e-zi-ib-*šu-um	UNKNOWN_NOUN_ADJ
e-zi-ib-/ma	UNKNOWN
e-zi-ib-ma	ezib+Prep+MA
e-zi-ib-ni-a-tí	UNKNOWN
e-zi-ib-šu	UNKNOWN
e-zi-ib-šu-nu	UNKNOWN
e-zi-ib-šum	UNKNOWN_NOUN_ADJ
e-zi-ma	ezz+N+Masc+Dual+Obl+MA
e-zi-ma	ezz+N+Masc+Pl+Construct+1csPoss+MA
e-zi-ma	ezz+N+Masc+Pl+Construct+MA
e-zi-ma	ezz+N+Masc+Pl+Obl+1csPoss+MA
e-zi-ma	ezz+N+Masc+Pl+Obl+MA
e-zi-ma	ezz+N+Masc+Sg+Construct+1csPoss+MA
e-zi-ma	ezz+N+Masc+Sg+Gen+1csPoss
e-zi-ma	ezz+N+Masc+Sg+Gen+MA
e-zi-ma	mazāˀum+GStem+Pret+3CS+MA
e-zi-za-am	eZiZ+N+Masc+Sg+Acc
e-zib	UNKNOWN
e-ṣ2-ìš	UNKNOWN
e-ṣa-am	eṣ+N+Masc+Sg+Acc
e-ṣa-am	iṣ+N+Masc+Sg+Acc
e-ṣa-am	ēṣ+Adj+Masc+Sg+Acc
e-ṣa-ar	iṣar+N+Masc+Sg+Construct
e-ṣa-ar	iṣār+N+Masc+Sg+Construct
e-ṣa-at	UNKNOWN
e-ṣa-dim	eṣād+N+Masc+Sg+Gen
e-ṣa-dum	eṣād+N+Masc+Sg+Nom
e-ša-ra-ni	išar+N+Masc+Dual+Nom+1cpPoss
e-ša-ra-ni	išar+N+Masc+Dual+Nom+1csPoss
e-ša-ra-ni	išar+N+Masc+Sg+Acc+1cpPoss
e-šar-tim	ešar+N+Fem+Sg+Gen
e-šar-tim	ešart+Name+Masc+Sg+Gen
e-ṭá-ar	UNKNOWN
e-ṭá-me	eṭamm+N+Masc+Pl+Construct
e-ṭá-me	eṭamm+N+Masc+Pl+Construct+1csPoss
e-ṭá-me	eṭamm+N+Masc+Pl+Obl
e-ṭá-me	eṭamm+N+Masc+Pl+Obl+1csPoss
e-ṭá-me	eṭamm+N+Masc+Sg+Construct+1csPoss
e-ṭá-me	eṭamm+N+Masc+Sg+Gen
e-ṭá-mu	eṭamm+N+Masc+Pl+Nom
e-ṭá-mu	eṭamm+N+Masc+Sg+Nom
e-ṭá-ri	UNKNOWN
e-ṭá-ri-im	UNKNOWN_NOUN_ADJ
e-ṭá-ri-imn	UNKNOWN
e-ṭé-er	UNKNOWN
e-ṭé-er-kà	UNKNOWN
e-ṭé-er-šu	UNKNOWN
e-ṭé-me	eṭemm+N+Masc+Pl+Construct
e-ṭé-me	eṭemm+N+Masc+Pl+Construct+1csPoss
e-ṭé-me	eṭemm+N+Masc+Pl+Obl
e-ṭé-me	eṭemm+N+Masc+Pl+Obl+1csPoss
e-ṭé-me	eṭemm+N+Masc+Sg+Construct+1csPoss
e-ṭé-me	eṭemm+N+Masc+Sg+Gen
e-ṣí	eṣ+N+Masc+Pl+Construct
e-ṣí	eṣ+N+Masc+Pl+Construct+1csPoss
e-ṣí	eṣ+N+Masc+Pl+Obl
e-ṣí	eṣ+N+Masc+Pl+Obl+1csPoss
e-ṣí	eṣ+N+Masc+Sg+Construct+1csPoss
e-ṣí	eṣ+N+Masc+Sg+Gen
e-ṣí	iṣ+N+Masc+Pl+Construct
e-ṣí	iṣ+N+Masc+Pl+Construct+1csPoss
e-ṣí	iṣ+N+Masc+Pl+Obl
e-ṣí	iṣ+N+Masc+Pl+Obl+1csPoss
e-ṣí	iṣ+N+Masc+Sg+Construct+1csPoss
e-ṣí	iṣ+N+Masc+Sg+Gen
e-ṣí	ēṣ+Adj+Masc+Sg+Gen
e-ṣí-e	eṣ+N+Masc+Pl+Construct
e-ṣí-e	eṣ+N+Masc+Pl+Construct+1csPoss
e-ṣí-e	eṣ+N+Masc+Pl+Obl
e-ṣí-e	eṣ+N+Masc+Pl+Obl+1csPoss
e-ṣí-e	eṣ+N+Masc+Sg+Construct+1csPoss
e-ṣí-e	eṣ+N+Masc+Sg+Gen
e-ṣí-e	iṣ+N+Masc+Pl+Construct
e-ṣí-e	iṣ+N+Masc+Pl+Construct+1csPoss
e-ṣí-e	iṣ+N+Masc+Pl+Obl
e-ṣí-e	iṣ+N+Masc+Pl+Obl+1csPoss
e-ṣí-e	iṣ+N+Masc+Sg+Construct+1csPoss
e-ṣí-e	iṣ+N+Masc+Sg+Gen
e-ṣí-e	ēṣ+Adj+Masc+Sg+Gen
e-ṣí-im	eṣ+N+Masc+Sg+Gen
e-ší-im	ešš+Adj+Masc+Sg+Gen
e-ṣí-im	iṣ+N+Masc+Sg+Gen
e-ší-im	šaˀāmum+GStem+Pret+3CS
e-ší-im	šaˀāmum+NStem+Pret+3CS
e-ṣí-im	ēṣ+Adj+Masc+Sg+Gen
e-ṭí-ir	UNKNOWN
e-ṣí-is	UNKNOWN
e-ṣí-iš	UNKNOWN
e-ṭí-ri	UNKNOWN
e-ṭí-ru-ni-ma	UNKNOWN
e-ṭí-ú-tim	UNKNOWN_NOUN_ADJ
e-ṣú	eṣ+N+Masc+Pl+Nom
e-ṣú	eṣ+N+Masc+Sg+Nom
e-ṣú	iṣ+N+Masc+Pl+Nom
e-ṣú	iṣ+N+Masc+Sg+Nom
e-ṣú	ēṣ+Adj+Masc+Sg+Nom
e-ṣú-ma	eṣ+N+Masc+Pl+Nom+MA
e-ṣú-ma	eṣ+N+Masc+Sg+Nom+1csPoss
e-ṣú-ma	eṣ+N+Masc+Sg+Nom+MA
e-ṣú-ma	iṣ+N+Masc+Pl+Nom+MA
e-ṣú-ma	iṣ+N+Masc+Sg+Nom+1csPoss
e-ṣú-ma	iṣ+N+Masc+Sg+Nom+MA
e-ṣú-tim-ma	UNKNOWN
e-ṣú-ú	eṣ+N+Masc+Pl+Nom
e-ṣú-ú	eṣ+N+Masc+Sg+Nom
e-ṣú-ú	iṣ+N+Masc+Pl+Nom
e-ṣú-ú	iṣ+N+Masc+Sg+Nom
e-ṣú-ú	ēṣ+Adj+Masc+Sg+Nom
e?-mì-ni	UNKNOWN
e?-tí-i	UNKNOWN
e?-zi-bu	UNKNOWN
e?-zi-ib	UNKNOWN
eb!-ri-im	UNKNOWN_NOUN_ADJ
eb-ra-am	ebr+N+Masc+Sg+Acc
eb-ri	Barāˀum+GStem+Pret+3CS
eb-ri	Barāˀum+NStem+Pret+3CS
eb-ri	barāˀum+GStem+Pret+3CS
eb-ri	barāˀum+NStem+Pret+3CS
eb-ri	ebr+N+Masc+Pl+Construct
eb-ri	ebr+N+Masc+Pl+Construct+1csPoss
eb-ri	ebr+N+Masc+Pl+Obl
eb-ri	ebr+N+Masc+Pl+Obl+1csPoss
eb-ri	ebr+N+Masc+Sg+Construct+1csPoss
eb-ri	ebr+N+Masc+Sg+Gen
eb-ri-im	ebr+N+Masc+Sg+Gen
eb-ri-kà	ebr+N+Masc+Dual+Obl+2msPoss
eb-ri-kà	ebr+N+Masc+Pl+Construct+2msPoss
eb-ri-kà	ebr+N+Masc+Pl+Obl+2msPoss
eb-ri-kà	ebr+N+Masc+Sg+Gen+2msPoss
eb-ru-um	ebr+N+Masc+Sg+Nom
ek-pá-at	UNKNOWN
elá-tim	UNKNOWN_NOUN_ADJ
em-ṣa-at	UNKNOWN
em-ṣa-ni	UNKNOWN
en6-kà	UNKNOWN
ep-«ra»-ra-am	UNKNOWN_NOUN_ADJ
ep-ša	epš+Adj+Masc+Sg+Acc
ep-ša	epš+N+Masc+Pl+Construct+1csPoss
ep-ša	epš+N+Masc+Pl+Nom+1csPoss
ep-ša	epš+N+Masc+Pl+Obl+1csPoss
ep-ša	epš+N+Masc+Sg+Acc
ep-ša	epš+N+Masc+Sg+Construct+1csPoss
ep-ša	epš+N+Masc+Sg+Construct+3fsPoss
ep-ša	ipš+N+Masc+Pl+Construct+1csPoss
ep-ša	ipš+N+Masc+Pl+Nom+1csPoss
ep-ša	ipš+N+Masc+Pl+Obl+1csPoss
ep-ša	ipš+N+Masc+Sg+Acc
ep-ša	ipš+N+Masc+Sg+Construct+1csPoss
ep-ša	ipš+N+Masc+Sg+Construct+3fsPoss
ep-ša	napāšum+GStem+Pret+3FP
ep-ša-am	epš+Adj+Masc+Sg+Acc
ep-ša-am	epš+N+Masc+Sg+Acc
ep-ša-am	ipš+N+Masc+Sg+Acc
ep-ša-at	UNKNOWN
ep-ša-ma	epš+N+Masc+Dual+Nom+MA
ep-ša-ma	epš+N+Masc+Pl+Construct+1csPoss+MA
ep-ša-ma	epš+N+Masc+Pl+Nom+1csPoss+MA
ep-ša-ma	epš+N+Masc+Pl+Obl+1csPoss+MA
ep-ša-ma	epš+N+Masc+Sg+Acc+1csPoss
ep-ša-ma	epš+N+Masc+Sg+Acc+MA
ep-ša-ma	epš+N+Masc+Sg+Construct+1csPoss+MA
ep-ša-ma	epš+N+Masc+Sg+Construct+3fsPoss+MA
ep-ša-ma	ipš+N+Masc+Dual+Nom+MA
ep-ša-ma	ipš+N+Masc+Pl+Construct+1csPoss+MA
ep-ša-ma	ipš+N+Masc+Pl+Nom+1csPoss+MA
ep-ša-ma	ipš+N+Masc+Pl+Obl+1csPoss+MA
ep-ša-ma	ipš+N+Masc+Sg+Acc+1csPoss
ep-ša-ma	ipš+N+Masc+Sg+Acc+MA
ep-ša-ma	ipš+N+Masc+Sg+Construct+1csPoss+MA
ep-ša-ma	ipš+N+Masc+Sg+Construct+3fsPoss+MA
ep-ša-ma	napāšum+GStem+Pret+3FP+MA
ep-ša-ni	epš+N+Masc+Dual+Nom+1cpPoss
ep-ša-ni	epš+N+Masc+Dual+Nom+1csPoss
ep-ša-ni	epš+N+Masc+Sg+Acc+1cpPoss
ep-ša-ni	ipš+N+Masc+Dual+Nom+1cpPoss
ep-ša-ni	ipš+N+Masc+Dual+Nom+1csPoss
ep-ša-ni	ipš+N+Masc+Sg+Acc+1cpPoss
ep-ší	epš+Adj+Masc+Sg+Gen
ep-ší	epš+N+Masc+Pl+Construct
ep-ší	epš+N+Masc+Pl+Construct+1csPoss
ep-ší	epš+N+Masc+Pl+Obl
ep-ší	epš+N+Masc+Pl+Obl+1csPoss
ep-ší	epš+N+Masc+Sg+Construct+1csPoss
ep-ší	epš+N+Masc+Sg+Gen
ep-ší	ipš+N+Masc+Pl+Construct
ep-ší	ipš+N+Masc+Pl+Construct+1csPoss
ep-ší	ipš+N+Masc+Pl+Obl
ep-ší	ipš+N+Masc+Pl+Obl+1csPoss
ep-ší	ipš+N+Masc+Sg+Construct+1csPoss
ep-ší	ipš+N+Masc+Sg+Gen
ep-ší-i	epš+Adj+Masc+Sg+Gen
ep-ší-i	epš+N+Masc+Pl+Construct
ep-ší-i	epš+N+Masc+Pl+Construct+1csPoss
ep-ší-i	epš+N+Masc+Pl+Obl
ep-ší-i	epš+N+Masc+Pl+Obl+1csPoss
ep-ší-i	epš+N+Masc+Sg+Construct+1csPoss
ep-ší-i	epš+N+Masc+Sg+Gen
ep-ší-i	ipš+N+Masc+Pl+Construct
ep-ší-i	ipš+N+Masc+Pl+Construct+1csPoss
ep-ší-i	ipš+N+Masc+Pl+Obl
ep-ší-i	ipš+N+Masc+Pl+Obl+1csPoss
ep-ší-i	ipš+N+Masc+Sg+Construct+1csPoss
ep-ší-i	ipš+N+Masc+Sg+Gen
eq-lam	eql+N+Masc+Sg+Acc
eq-lam5	eql+N+Masc+Sg+Acc
eq-lim	eql+N+Masc+Sg+Gen
eq-lim-ma	eql+N+Masc+Sg+Gen+MA
eq-lá-tù-šu	UNKNOWN
eq-lúm	eql+N+Masc+Sg+Nom
er!-ba-am	UNKNOWN_NOUN_ADJ
er!-bi4-ma	UNKNOWN
er!-ša-šu	UNKNOWN
er-ba-am	erb+N+Masc+Sg+Acc
er-ba-am	erbi+N+Masc+Sg+Acc
er-ba-am	erbû+N+Masc+Sg+Acc
er-ba-am	irb+N+Masc+Sg+Acc
er-ba-ma	erb+N+Masc+Dual+Nom+MA
er-ba-ma	erb+N+Masc+Pl+Construct+1csPoss+MA
er-ba-ma	erb+N+Masc+Pl+Nom+1csPoss+MA
er-ba-ma	erb+N+Masc+Pl+Obl+1csPoss+MA
er-ba-ma	erb+N+Masc+Sg+Acc+1csPoss
er-ba-ma	erb+N+Masc+Sg+Acc+MA
er-ba-ma	erb+N+Masc+Sg+Construct+1csPoss+MA
er-ba-ma	erbi+N+Masc+Dual+Nom+MA
er-ba-ma	erbi+N+Masc+Sg+Acc+1csPoss
er-ba-ma	erbi+N+Masc+Sg+Acc+MA
er-ba-ma	erbi+N+Masc+Sg+Construct+1csPoss+MA
er-ba-ma	erbû+N+Masc+Dual+Nom+MA
er-ba-ma	erbû+N+Masc+Sg+Acc+1csPoss
er-ba-ma	erbû+N+Masc+Sg+Acc+MA
er-ba-ma	erbû+N+Masc+Sg+Construct+1csPoss+MA
er-ba-ma	irb+N+Masc+Dual+Nom+MA
er-ba-ma	irb+N+Masc+Pl+Construct+1csPoss+MA
er-ba-ma	irb+N+Masc+Pl+Nom+1csPoss+MA
er-ba-ma	irb+N+Masc+Pl+Obl+1csPoss+MA
er-ba-ma	irb+N+Masc+Sg+Acc+1csPoss
er-ba-ma	irb+N+Masc+Sg+Acc+MA
er-ba-ma	irb+N+Masc+Sg+Construct+1csPoss+MA
er-ba-ma	rabāˀum+GStem+Pret+3FP+MA
er-ba-ma	rabāˀum+NStem+Pret+3FP+MA
er-bi4-im	erb+N+Masc+Sg+Gen
er-bi4-im	erbi+N+Masc+Sg+Gen
er-bi4-im	irb+N+Masc+Sg+Gen
er-bu-um	erb+N+Masc+Sg+Nom
er-bu-um	erbi+N+Masc+Sg+Nom
er-bu-um	erbû+N+Masc+Sg+Nom
er-bu-um	irb+N+Masc+Sg+Nom
er-sú	UNKNOWN
er-sú-a-at	UNKNOWN
er-sú-ma	UNKNOWN
er-sú-wa	UNKNOWN
er-sú-ú	UNKNOWN
er-ša	erš+N+Masc+Pl+Construct+1csPoss
er-ša	erš+N+Masc+Pl+Nom+1csPoss
er-ša	erš+N+Masc+Pl+Obl+1csPoss
er-ša	erš+N+Masc+Sg+Acc
er-ša	erš+N+Masc+Sg+Construct+1csPoss
er-ša	erš+N+Masc+Sg+Construct+3fsPoss
er-ša	irš+N+Masc+Pl+Construct+1csPoss
er-ša	irš+N+Masc+Pl+Nom+1csPoss
er-ša	irš+N+Masc+Pl+Obl+1csPoss
er-ša	irš+N+Masc+Sg+Acc
er-ša	irš+N+Masc+Sg+Construct+1csPoss
er-ša	irš+N+Masc+Sg+Construct+3fsPoss
er-ša	rašāˀum+GStem+Pret+3FP
er-ša	rašāˀum+NStem+Pret+3FP
er-ša-*šu-ma	UNKNOWN
er-ša-a-ma	erš+N+Masc+Dual+Nom+MA
er-ša-a-ma	erš+N+Masc+Pl+Construct+1csPoss+MA
er-ša-a-ma	erš+N+Masc+Pl+Nom+1csPoss+MA
er-ša-a-ma	erš+N+Masc+Pl+Obl+1csPoss+MA
er-ša-a-ma	erš+N+Masc+Sg+Acc+1csPoss
er-ša-a-ma	erš+N+Masc+Sg+Acc+MA
er-ša-a-ma	erš+N+Masc+Sg+Construct+1csPoss+MA
er-ša-a-ma	erš+N+Masc+Sg+Construct+3fsPoss+MA
er-ša-a-ma	irš+N+Masc+Dual+Nom+MA
er-ša-a-ma	irš+N+Masc+Pl+Construct+1csPoss+MA
er-ša-a-ma	irš+N+Masc+Pl+Nom+1csPoss+MA
er-ša-a-ma	irš+N+Masc+Pl+Obl+1csPoss+MA
er-ša-a-ma	irš+N+Masc+Sg+Acc+1csPoss
er-ša-a-ma	irš+N+Masc+Sg+Acc+MA
er-ša-a-ma	irš+N+Masc+Sg+Construct+1csPoss+MA
er-ša-a-ma	irš+N+Masc+Sg+Construct+3fsPoss+MA
er-ša-a-ma	rašāˀum+GStem+Pret+3FP+MA
er-ša-a-ma	rašāˀum+NStem+Pret+3FP+MA
er-ša-ma	erš+N+Masc+Dual+Nom+MA
er-ša-ma	erš+N+Masc+Pl+Construct+1csPoss+MA
er-ša-ma	erš+N+Masc+Pl+Nom+1csPoss+MA
er-ša-ma	erš+N+Masc+Pl+Obl+1csPoss+MA
er-ša-ma	erš+N+Masc+Sg+Acc+1csPoss
er-ša-ma	erš+N+Masc+Sg+Acc+MA
er-ša-ma	erš+N+Masc+Sg+Construct+1csPoss+MA
er-ša-ma	erš+N+Masc+Sg+Construct+3fsPoss+MA
er-ša-ma	irš+N+Masc+Dual+Nom+MA
er-ša-ma	irš+N+Masc+Pl+Construct+1csPoss+MA
er-ša-ma	irš+N+Masc+Pl+Nom+1csPoss+MA
er-ša-ma	irš+N+Masc+Pl+Obl+1csPoss+MA
er-ša-ma	irš+N+Masc+Sg+Acc+1csPoss
er-ša-ma	irš+N+Masc+Sg+Acc+MA
er-ša-ma	irš+N+Masc+Sg+Construct+1csPoss+MA
er-ša-ma	irš+N+Masc+Sg+Construct+3fsPoss+MA
er-ša-ma	rašāˀum+GStem+Pret+3FP+MA
er-ša-ma	rašāˀum+NStem+Pret+3FP+MA
er-ša-nim-ma	UNKNOWN
er-ša-šu-ma	erš+N+Masc+Dual+Nom+3msPoss+MA
er-ša-šu-ma	erš+N+Masc+Sg+Acc+3msPoss+MA
er-ša-šu-ma	irš+N+Masc+Dual+Nom+3msPoss+MA
er-ša-šu-ma	irš+N+Masc+Sg+Acc+3msPoss+MA
er-šu-um	erš+N+Masc+Sg+Nom
er-šu-um	irš+N+Masc+Sg+Nom
er-ší-a	erš+N+Masc+Pl+Construct+1csPoss
er-ší-a	erš+N+Masc+Pl+Obl+1csPoss
er-ší-a	erš+N+Masc+Sg+Construct+1csPoss
er-ší-a	irš+N+Masc+Pl+Construct+1csPoss
er-ší-a	irš+N+Masc+Pl+Obl+1csPoss
er-ší-a	irš+N+Masc+Sg+Construct+1csPoss
er-ší-a	rašāˀum+GStem+Pret+3FP
er-ší-a	rašāˀum+NStem+Pret+3FP
er-ší-ma	erš+N+Masc+Dual+Obl+MA
er-ší-ma	erš+N+Masc+Pl+Construct+1csPoss+MA
er-ší-ma	erš+N+Masc+Pl+Construct+MA
er-ší-ma	erš+N+Masc+Pl+Obl+1csPoss+MA
er-ší-ma	erš+N+Masc+Pl+Obl+MA
er-ší-ma	erš+N+Masc+Sg+Construct+1csPoss+MA
er-ší-ma	erš+N+Masc+Sg+Gen+1csPoss
er-ší-ma	erš+N+Masc+Sg+Gen+MA
er-ší-ma	irš+N+Masc+Dual+Obl+MA
er-ší-ma	irš+N+Masc+Pl+Construct+1csPoss+MA
er-ší-ma	irš+N+Masc+Pl+Construct+MA
er-ší-ma	irš+N+Masc+Pl+Obl+1csPoss+MA
er-ší-ma	irš+N+Masc+Pl+Obl+MA
er-ší-ma	irš+N+Masc+Sg+Construct+1csPoss+MA
er-ší-ma	irš+N+Masc+Sg+Gen+1csPoss
er-ší-ma	irš+N+Masc+Sg+Gen+MA
er-ší-ma	rašāˀum+GStem+Pret+3CS+MA
er-ší-ma	rašāˀum+NStem+Pret+3CS+MA
et-ma-sú	UNKNOWN
et-qam	UNKNOWN_NOUN_ADJ
et-qam-ma	UNKNOWN
et-qá-ma	UNKNOWN
et-qá-ni-ma	UNKNOWN
et-qá-nim-ma	UNKNOWN
et-qám-ma	UNKNOWN
ez-ba-ma	UNKNOWN
